Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.mgt,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.subject.support
temp,org.apache.shiro.mgt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractRememberMeManager]; [AuthenticatingSecurityManager]; [AuthorizingSecurityManager]; [CachingSecurityManager]; [DefaultSecurityManager; RememberMeManager]; [DefaultSessionStorageEvaluator; SessionStorageEvaluator]; [DefaultSubjectDAO]; [DefaultSubjectFactory]; [RealmSecurityManager]; [SecurityManager]; [SessionsSecurityManager]; [SubjectDAO]; [SubjectFactory]; [AbstractRememberMeManagerTest]; [DummyRememberMeManager]; [AbstractSecurityManagerTest]; [DefaultSecurityManagerTest]; [VMSingletonDefaultSecurityManagerTest]; [DefaultSubjectDAOTest]. LCC (Lack of Component Cohesion) = 0.9
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.mgt
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.config; org.apache.shiro.mgt
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.config; org.apache.shiro.mgt; org.apache.shiro.subject.support
temp,org.apache.shiro,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.subject
temp,org.apache.shiro.realm,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.authc.credential
temp,org.apache.shiro.realm,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatingRealm]; [AuthorizingRealm]; [CachingRealm]; [Realm]; [RealmFactory]; [SimpleAccountRealm]; [AuthorizingRealmTest; UserIdPrincipal; UsernamePrincipal]; [AllowAllRealm]; [AuthenticatingRealmIntegrationTest]; [AuthenticatingRealmTest]; [TestAuthenticatingRealm]; [NoLookupAuthenticatingRealm]; [CachingRealmTest]; [TestCachingRealm]; [TestAuthenticatingRealm]. LCC (Lack of Component Cohesion) = 0.88
temp,org.apache.shiro.realm.ldap,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractLdapRealm]; [DefaultLdapContextFactory; DefaultLdapContextFactoryTest]; [DefaultLdapRealm; LdapUtils]; [JndiLdapContextFactory; JndiLdapContextFactoryTest]; [JndiLdapRealm]; [LdapContextFactory; DefaultLdapRealmTest]; [JndiLdapRealmTest]. LCC (Lack of Component Cohesion) = 0.64
temp,org.apache.shiro.realm.text,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.realm.text; org.apache.shiro.config
temp,org.apache.shiro.realm.text,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.realm.text; org.apache.shiro.config; org.apache.shiro.mgt
temp,org.apache.shiro.realm.text,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.config
temp,org.apache.shiro.realm.text,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IniRealm]; [PropertiesRealm]; [TextConfigurationRealm]; [IniRealmTest]; [TextConfigurationRealmTest]; [TestThread]; [TestRealm]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.session,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExpiredSessionException]; [InvalidSessionException]; [ProxiedSession]; [Session]; [SessionException]; [SessionListener; SessionListenerAdapter]; [StoppedSessionException]; [UnknownSessionException]. LCC (Lack of Component Cohesion) = 0.89
temp,org.apache.shiro.session.mgt,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.session.mgt.eis
temp,org.apache.shiro.session.mgt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractNativeSessionManager]; [AbstractSessionManager; SessionManager; ValidatingSessionManager; AbstractValidatingSessionManagerTest; DelegatingSessionTest]; [AbstractValidatingSessionManager; ValidatingSession]; [DefaultSessionContext]; [DefaultSessionKey; SessionKey]; [DefaultSessionManager; ExecutorServiceSessionValidationScheduler; SimpleSession]; [DelegatingSession]; [ImmutableProxiedSession]; [NativeSessionManager]; [SessionContext]; [SessionFactory]; [SessionValidationScheduler]; [SimpleSessionFactory]; [DefaultSessionManagerTest]; [SessionTimeoutMatcher]; [SimpleSessionTest]. LCC (Lack of Component Cohesion) = 0.67
temp,org.apache.shiro.session.mgt.eis,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSessionDAO]; [CachingSessionDAO]; [EnterpriseCacheSessionDAO]; [JavaUuidSessionIdGenerator]; [MemorySessionDAO]; [RandomSessionIdGenerator]; [SessionDAO]; [SessionIdGenerator]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject; org.apache.shiro
temp,org.apache.shiro.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject; org.apache.shiro.config; org.apache.shiro.mgt
temp,org.apache.shiro.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject; org.apache.shiro.config; org.apache.shiro.mgt; org.apache.shiro.subject.support
temp,org.apache.shiro.subject,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.config; org.apache.shiro.mgt
temp,org.apache.shiro.subject,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExecutionException]; [MutablePrincipalCollection]; [PrincipalCollection; PrincipalMap]; [SimplePrincipalCollection]; [SimplePrincipalMap]; [Subject; DelegatingSubjectTest]; [Builder]; [SubjectContext]; [SimplePrincipalCollectionTest]. LCC (Lack of Component Cohesion) = 0.82
temp,org.apache.shiro.subject.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject.support; org.apache.shiro.mgt
temp,org.apache.shiro.subject.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject.support; org.apache.shiro.subject; org.apache.shiro.mgt
temp,org.apache.shiro.subject.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultSubjectContext]; [DelegatingSubject; DisabledSessionException]; [StoppingAwareProxiedSession]; [SubjectCallable]; [SubjectRunnable]; [SubjectThreadState]. LCC (Lack of Component Cohesion) = 0.86
temp,org.apache.shiro.util,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
