Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.jsecurity.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.util; org.jsecurity.authz.permission
temp,org.jsecurity.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.util; org.jsecurity.context; org.jsecurity
temp,org.jsecurity.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.util; org.jsecurity.context; org.jsecurity; org.jsecurity.realm
temp,org.jsecurity.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.util; org.jsecurity.context; org.jsecurity; org.jsecurity.realm; org.jsecurity.authz.permission
temp,org.jsecurity.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.authz.permission; org.jsecurity.context
temp,org.jsecurity.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AntPathMatcher]; [ClassUtils; InstantiationException; JavaEnvironment; UnknownClassException]; [CollectionUtils]; [Destroyable; LifecycleUtils; Initializable]; [JdbcUtils]; [PermissionUtils]; [ResourceUtils]; [Serializer; XmlSerializer]; [ThreadContext]; [UnavailableConstructorException]. LCC (Lack of Component Cohesion) = 0.63
temp,org.jsecurity.web,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.web; org.jsecurity.web.support
temp,org.jsecurity.web,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.web; org.jsecurity.web.support; org.jsecurity.web.servlet
temp,org.jsecurity.web,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.web.support
temp,org.jsecurity.web.servlet,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.web.servlet; org.jsecurity.web.support
temp,org.jsecurity.web.servlet,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.web.servlet; org.jsecurity.web; org.jsecurity.web.support
temp,org.jsecurity.web.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.web.support; org.jsecurity.web
temp,org.jsecurity.web.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.web.support; org.jsecurity.web.servlet; org.jsecurity.web
temp,org.jsecurity.web.support,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.web.servlet
temp,org.apache.shiro.spring.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ShiroBeanConfigurationTest]; [ShiroConfigurationTest]; [ShiroConfigurationWithOptionalComponentsTest]; [ShiroEventBusAwareBeanPostProcessorTest]; [ShiroWebConfigurationTest]; [ShiroWebFilterConfigurationTest]; [FilterConfiguration]; [ExpectedTestFilter]. LCC (Lack of Component Cohesion) = 1.0
