Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.jsecurity.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.io; org.jsecurity.util; org.jsecurity.authz.permission; org.jsecurity.authz; org.jsecurity.subject
temp,org.jsecurity.io,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractResource; ResourceException; ResourceUtils; TextResource; IniResource]; [DefaultSerializer; SerializationException; Serializer; XmlSerializer]; [ResourceExceptionTest]; [SerializationExceptionTest]. LCC (Lack of Component Cohesion) = 0.36
temp,org.jsecurity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity; org.jsecurity.mgt
temp,org.jsecurity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity; org.jsecurity.mgt; org.jsecurity.realm
temp,org.jsecurity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity; org.jsecurity.mgt; org.jsecurity.authc.pam; org.jsecurity.realm
temp,org.jsecurity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.mgt; org.jsecurity.realm.ldap
temp,org.jsecurity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JSecurityException]; [SecurityEvent]; [SecurityUtils]; [ActiveDirectoryRealmTest; TestActiveDirectoryRealm; UserIdPrincipal; UsernamePrincipal; AuthorizingRealmTest; AllowAllRealm]; [AtUnitTest]; [DefaultSecurityManagerTest]; [ExceptionTest]. LCC (Lack of Component Cohesion) = 0.58
temp,org.jsecurity.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.mgt; org.jsecurity.util
temp,org.jsecurity.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.mgt; org.jsecurity.authc; org.jsecurity.subject
temp,org.jsecurity.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.mgt; org.jsecurity.authc; org.jsecurity.authc.event.mgt; org.jsecurity.subject
temp,org.jsecurity.mgt,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.authc.event.mgt; org.jsecurity.authc.pam; org.jsecurity.cache.ehcache; org.jsecurity.realm.text; org.jsecurity.session.mgt
temp,org.jsecurity.mgt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatingSecurityManager; AuthorizingSecurityManager; RealmSecurityManager; SessionsSecurityManager; CachingSecurityManager; SecurityManager; DefaultSecurityManager; VMSingletonDefaultSecurityManagerTest]; [SecurityManagerFactory]. LCC (Lack of Component Cohesion) = 0.22
temp,org.jsecurity.realm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm; org.jsecurity
temp,org.jsecurity.realm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm; org.jsecurity.subject; org.jsecurity.mgt
temp,org.jsecurity.realm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm; org.jsecurity.authc.credential; org.jsecurity.util; org.jsecurity.mgt
temp,org.jsecurity.realm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm; org.jsecurity.authc.credential; org.jsecurity.authc; org.jsecurity.subject; org.jsecurity.mgt
temp,org.jsecurity.realm,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.authc.credential; org.jsecurity
temp,org.jsecurity.realm,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatingRealm; AuthorizingRealm; CachingRealm; Realm; SimpleAccountRealm]; [RealmFactory]. LCC (Lack of Component Cohesion) = 0.33
temp,org.jsecurity.realm.ldap,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm.ldap; org.jsecurity.subject; org.jsecurity.mgt; org.jsecurity
temp,org.jsecurity.realm.ldap,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm.ldap; org.jsecurity.authc; org.jsecurity.subject; org.jsecurity.mgt; org.jsecurity
temp,org.jsecurity.realm.text,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm.text; org.jsecurity.subject; org.jsecurity.mgt
temp,org.jsecurity.realm.text,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm.text; org.jsecurity.io; org.jsecurity.util; org.jsecurity.mgt
temp,org.jsecurity.realm.text,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm.text; org.jsecurity.io; org.jsecurity.util; org.jsecurity.subject; org.jsecurity.mgt
temp,org.jsecurity.session,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExpiredSessionException; StoppedSessionException; InvalidSessionException; SessionException; UnknownSessionException]; [Session]; [SessionFactory]. LCC (Lack of Component Cohesion) = 0.43
temp,org.jsecurity.session.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.session.mgt; org.jsecurity.util; org.jsecurity.mgt
temp,org.jsecurity.session.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.session.mgt; org.jsecurity.util; org.jsecurity.subject; org.jsecurity.mgt
temp,org.jsecurity.session.mgt.eis,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.session.mgt.eis; org.jsecurity.util; org.jsecurity.mgt; org.jsecurity.cache.ehcache
temp,org.jsecurity.session.mgt.eis,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.session.mgt.eis; org.jsecurity.util; org.jsecurity.subject; org.jsecurity.mgt; org.jsecurity.cache.ehcache
temp,org.jsecurity.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.subject; org.jsecurity.authc
temp,org.jsecurity.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.subject; org.jsecurity.io; org.jsecurity.util
temp,org.jsecurity.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.subject; org.jsecurity.io; org.jsecurity.util; org.jsecurity.mgt
temp,org.jsecurity.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.subject; org.jsecurity.io; org.jsecurity.util; org.jsecurity.authz.permission; org.jsecurity.authz
temp,org.jsecurity.subject,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.io; org.jsecurity.crypto; org.jsecurity.mgt; org.jsecurity.authz
temp,org.jsecurity.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.util; org.jsecurity.authz.permission
