Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractFactory; Factory]; [AntPathMatcher; StringUtils; StringUtilsTest; PermissionUtils]; [ByteSource; SimpleByteSource]; [ClassUtils; ClassLoaderAccessor; ExceptionIgnoringAccessor; InstantiationException; UnknownClassException]; [CollectionUtils]; [Destroyable; LifecycleUtils; Initializable]; [JavaEnvironment]; [JdbcUtils]; [Nameable]; [PatternMatcher]; [RegExPatternMatcher]; [SoftHashMap; SoftValue]; [ThreadContext]; [ThreadState]; [UnavailableConstructorException]; [RegExPatternMatcherTest]. LCC (Lack of Component Cohesion) = 0.57
temp,org.apache.shiro.crypto.hash.format,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64FormatTest]; [DefaultHashFormatFactoryTest]; [HexFormatTest]; [ProvidedHashFormatTest]; [Shiro1CryptFormatTest]; [ToStringHashFormat]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.event.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationEventListenerResolverTest]; [BarEvent; BazEvent; FooEvent; SubclassTestSubscriber; TestSubscriber; ErroneouslyAnnotatedSubscriber; ErrorCausingEvent; ExceptionThrowingSubscriber]; [DefaultEventBusTest]; [EventClassComparatorTest]; [EventListenerComparatorTest]; [InvalidMethodModifierSubscriber]; [NotAnnotatedSubscriber]; [SimpleEvent; SimpleSubscriber]; [SingleArgumentMethodEventListenerTest]. LCC (Lack of Component Cohesion) = 0.53
temp,org.apache.shiro.sample.bank,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Account; AccountTransaction; InactiveAccountException; SecureBankService; AccountNotFoundException; BankServiceException; NotEnoughFundsException; BankServerRunner]; [BankService]; [TxLog]; [SecureBankServiceTest]. LCC (Lack of Component Cohesion) = 0.36
temp,org.apache.shiro.samples.spring.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IndexController]; [JnlpController]; [LoginCommand]; [LoginController]; [LogoutController]; [SessionValueCommand]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.samples.sprhib.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CurrentUserInterceptor]; [EditUserCommand; EditUserValidator]; [HomeController]; [LoginCommand; LoginValidator]; [ManageUsersController]; [SecurityController]; [SignupCommand; SignupValidator]; [SignupController]. LCC (Lack of Component Cohesion) = 0.73
temp,org.apache.shiro.aspectj,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ShiroAnnotationAuthorizingAspect]; [AspectjAnnotationsAuthorizingMethodInterceptor; BeforeAdviceMethodInvocationAdapter; DummyServiceTest]; [DummyService]; [RestrictedDummyService]; [SecuredDummyService]. LCC (Lack of Component Cohesion) = 0.71
temp,org.apache.shiro.spring.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ShiroBeanConfigurationTest]; [ShiroConfigurationTest]; [ShiroConfigurationWithOptionalComponentsTest]; [ShiroEventBusAwareBeanPostProcessorTest]; [ShiroWebConfigurationTest]; [ShiroWebFilterConfigurationTest]; [FilterConfiguration]; [ExpectedTestFilter]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.web.config,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.config
temp,org.apache.shiro.web.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IniFilterChainResolverFactory]; [IniWebConfiguration]; [WebConfiguration]; [WebIniSecurityManagerFactory]; [IniFilterChainResolverFactoryTest]; [WebIniSecurityManagerFactoryTest]; [IniFilterChainResolverFactoryTest]. LCC (Lack of Component Cohesion) = 1.0
